,vehicles,avg_price,lot_number,date_of_sale,year,vin,condition,engine,mileage,documents,location,primary_damage,secondary_damage,estimated_retail_value,estimated_repair_cost,transmission,body_color,drive,fuel,keys,notes,seller,price,market
93,36,$7442,62645562,12.12.2022,2020,3VW5T7AU7LM007971,Not specified,2.0L 4,29180 miles (Actual),Az - Cert Of Title - Salvage,Az - Phoenix,Rear End,Front End,25923,23900,Manual,Red,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,6300, Copart 
94,68,$6597,62335902,12.12.2022,2018,3VW447AU9JM261106,Enhanced Vehicles,2 L 4,60861 mile (Actual),Fl - Certificate Of Destruction,Fl - Punta Gorda South,Water/Flood,Not specified,25377,26326,Automatic,White,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,7100, Copart 
95,36,$7442,61786732,12.12.2022,2020,3VW5T7AU9LM017496,Enhanced Vehicles,2.0L 4,0 miles (Not Actual),Ca - Salvage Certificate,Ca - So Sacramento,Front End,Not specified,29879,0,Manual,Black,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,2400, Copart 
96,51,$7098,45967952,12.12.2022,2019,3VW6T7AU0KM001688,Engine Start Program,2.0L 4,59824 miles (Actual),Co - Public - Salvage Title,Co - Denver South,Front End,Side,25358,25358,Automatic,Black,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,3150, Copart 
97,164,$4953,65274082,09.12.2022,2017,3VW447AU7HM044292,Run And Drive,2 L 4,49577 miles (Actual),Ms - Cert Of Title-Salvaged,Ms - Jackson,Front End,Not specified,23899,23899,Automatic,Black,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,6100, Copart 
98,51,$7098,59556432,08.12.2022,2019,3VW5T7AUXKM010944,Run And Drive,2.0L 4,39140 miles (Actual),Md - Cert Of Salvage > 75% Damage (P),Md - Baltimore East,Front End,Minor Dent/Scratches,26909,26808,Manual,Blue,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,5600, Copart 
99,68,$6597,60737752,06.12.2022,2018,3VW447AU9JM288306,Run And Drive,2 L 4,49271 mile (Actual),Tx - Salvage Vehicle Title,Tx - Houston,Front End,Not specified,23680,19013,Automatic,Gray,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,5000, Copart 
100,164,$4953,65474252,05.12.2022,2017,3VW4T7AU0HM061017,Enhanced Vehicles,2 L 4,114885 miles (Not Actual),Mo - Salvage Certificate Of Title,Mo - Sikeston,Front End,Rear End,15533,15727,Automatic,Silver,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,2550, Copart 
101,68,$6597,61234842,06.12.2022,2018,3VW447AU7JM293262,Run And Drive,2 L 4,31159 miles (Actual),Tx - Salvage Vehicle Title,Tx - Ft. Worth,Front End,Not specified,24884,26401,Automatic,White,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,7600, Copart 
102,36,$7442,38337232,06.12.2022,2020,3VW6T7AU7LM005061,Run And Drive,2.0L 4,27854 miles (Actual),Co - Public - Bill Of Sale Parts,Co - Denver,Rear End,Not specified,29913,18526,Automatic,Red,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,9300, Copart 
103,36,$7442,62645562,05.12.2022,2020,3VW5T7AU7LM007971,Not specified,2.0L 4,29180 miles (Actual),Az - Cert Of Title - Salvage,Az - Phoenix,Rear End,Front End,25923,23900,Manual,Red,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,6300, Copart 
104,164,$4953,51500492,05.12.2022,2017,3VW4T7AU9HM069469,Enhanced Vehicles,2 L 4,65260 miles (Not Actual),Fl - Certificate Of Destruction,Va - Richmond East,Front End,Undercarriage,21611,22510,Automatic,Black,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,1500, Copart 
105,36,$7442,65112222,02.12.2022,2020,3VW6T7AU6LM010641,Enhanced Vehicles,2.0L 4,46763 miles (Actual),Az - Cert Of Title - Salvage,Az - Tucson,Front End,Not specified,25178,20172,Automatic,Black,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,4850, Copart 
106,36,$7442,59558322,02.12.2022,2020,3VW5T7AU6LM014393,Run And Drive,2.0L 4,19136 miles (Actual),Ga - Cert Of Title-Salvage,Tx - Houston,Front End,Minor Dent/Scratches,39893,0,Manual,Gray,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,9600, Copart 
107,36,$7442,56555322,02.12.2022,2020,3VW6T7AUXLM013607,Enhanced Vehicles,2.0L 4,44899 miles (Actual),Ca - Salvage Certificate,Ca - Long Beach,Front End,Minor Dent/Scratches,30816,32448,Automatic,Black,Front-Wheel Drive,Gas,No,Not specified, Not specified,8400, Copart 
108,164,$4953,63376332,30.11.2022,2017,3VW4T7AU5HM020124,Enhanced Vehicles,2 L 4,125550 miles (Actual),Ca - Salvage Certificate,Ca - Sun Valley,Front End,Side,17907,0,Automatic,Gray,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,1850, Copart 
109,51,$7098,57676042,30.11.2022,2019,3VW6T7AUXKM012116,Enhanced Vehicles,2.0L 4,36006 miles (Actual),Va - Cert Of Title - Salvage,Md - Baltimore,Front End,Not specified,31777,24445,Automatic,Blue,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,5000, Copart 
110,51,$7098,62026932,28.11.2022,2019,3VW6T7AU9KM017081,Enhanced Vehicles,2.0L 4,0 miles (Not Actual),Fl - Certificate Of Destruction,Fl - Punta Gorda South,Water/Flood,Not specified,28574,28574,Automatic,Blue,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,7400, Copart 
111,164,$4953,53543052,25.11.2022,2017,3VW447AU0HM070216,Enhanced Vehicles,2 L 4,76522 miles (Actual),Ok - Cert Of Title-Salvage,Ok - Oklahoma City,Front End,Not specified,2660,0,Automatic,Black,Front-Wheel Drive,Gas,No,Not specified, Not specified,4000, Copart 
112,164,$4953,51099492,25.11.2022,2017,3VW447AU0HM031688,Engine Start Program,2 L 4,51155 miles (Actual),In - Bill Of Sale - Parts Only,In - Indianapolis,Front End,Not specified,30396,30396,Automatic,Blue,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,1450, Copart 
113,164,$4953,32456092,23.11.2022,2017,3VW4T7AU6HM073687,Run And Drive,2 L 4,56424 miles (Actual),Nj - Cert Of Title-Salvage,Pa - York Haven,Front End,Side,25032,27855,Automatic,Red,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,3700, Copart 
114,36,$7442,64576342,22.11.2022,2020,3VW6T7AU3LM014582,Engine Start Program,2.0L 4,17543 miles (Actual),Ca - Salvage Certificate,Ca - San Diego,Front End,Not specified,33694,33694,Automatic,White,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,5500, Copart 
115,51,$7098,64400602,22.11.2022,2019,3VW6T7AU7KM019153,Run And Drive,2.0L 4,14462 miles (Actual),Fl - Cert Of Title Slvg Rebuildable,Fl - West Palm Beach,Front End,Side,28100,7812,Automatic,White,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,10100, Copart 
116,164,$4953,61081252,22.11.2022,2017,3VW5T7AU2HM042912,Run And Drive,2 L 4,74211 miles (Actual),Ca - Salvage Certificate,Ca - San Jose,All Over,Undercarriage,22643,15720,Manual,White,Front-Wheel Drive,Gas,Yes,Veh Loc @ San Martin Sublot, Not specified,2900, Copart 
117,164,$4953,64654412,21.11.2022,2017,3VW5T7AU2HM022496,Run And Drive,2 L 4,96002 miles (Actual),On - Permit Salvage,On - Toronto,Side,Rear End,26152,26037,Manual,Gray,Front-Wheel Drive,Gas,Yes,Front/Minor Dents, Not specified,8800, Copart 
118,164,$4953,64456022,21.11.2022,2017,3VW4T7AU4HM063479,Run And Drive,2 L 4,80796 miles (Actual),Fl - Certificate Of Destruction,Fl - Jacksonville North,Water/Flood,Mechanical,21259,19591,Automatic,Silver,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,5200, Copart 
119,36,$7442,62328702,21.11.2022,2020,3VW6T7AUXLM001957,Run And Drive,2.0L 4,29725 miles (Actual),Ca - Salvage Certificate,Ca - So Sacramento,Front End,Rear End,27804,26214,Automatic,White,Front-Wheel Drive,Gas,Yes,Not specified, Not specified,6100, Copart 
